000000,000000,000000,000000,000000,023069;4,10,8,9,11,9;21923,20685,21315,21784,21934,20205;98,48,58,29,80,78#
000000,000000,000000,000000,000000,023069;2,3,0,5,8,9;21390,21216,20400,20402,20540,21060;34,99,58,18,5,3#
000000,000000,000000,000000,000000,023069;8,6,7,7,10,1;20249,20887,21747,21020,20525,20872;39,75,36,97,44,26#
000000,000000,000000,000000,000000,023069;4,5,4,0,3,9;20930,21148,20475,20532,21638,21154;96,64,89,7,48,67#
000000,000000,000000,000000,000000,023069;1,10,2,0,7,11;21145,21220,20336,20919,20524,20019;32,16,17,72,99,64#
000000,000000,000000,000000,000000,023069;8,5,9,4,10,11;20434,20362,20515,21979,21780,21487;20,0,55,84,60,74#
000000,000000,000000,000000,000000,023069;5,7,5,3,1,1;21964,20216,20086,20250,20887,21277;29,74,61,11,67,54#
000000,000000,000000,000000,000000,023069;9,4,8,1,10,11;21834,20274,21665,20374,20448,20301;46,67,6,11,39,67#
000000,000000,000000,000000,000000,023069;2,1,7,4,0,1;20184,20713,21686,21012,20552,20102;95,17,34,55,2,90#
000000,000000,000000,000000,000000,023069;1,11,4,5,6,10;21900,20733,20626,20314,21696,21183;15,32,15,85,8,90#
000000,000000,000000,000000,000000,023069;10,4,6,7,9,3;20537,21118,20281,21548,20451,20529;22,49,10,51,15,7#
-00194,000000,000000,000000,000000,023069;8,4,4,10,7,10;20744,21417,20640,20498,21792,20721;99,1,21,0,76,79#
-01437,000000,000000,000000,000000,023069;2,5,2,4,9,9;21353,20442,21673,21052,21264,20580;55,54,25,21,88,53#
-02674,000000,000000,000000,000000,023069;1,3,3,9,0,0;20012,20616,20099,21033,21985,20539;28,23,15,62,92,55#
-03883,000000,000000,000000,000000,023069;2,10,8,8,3,2;21486,21934,20895,21929,21493,20169;72,11,10,2,88,27#
-04706,000000,000000,000000,000000,023069;11,1,1,9,4,10;21585,21828,21122,21048,20304,21980;20,26,33,67,54,59#
-05949,000000,000000,000000,000000,023069;6,7,5,2,7,11;20946,20124,21792,21794,21934,21001;36,55,52,51,19,80#
-07185,000000,000000,000000,000000,023069;4,4,6,4,7,8;21435,20243,21700,20847,20625,21652;9,33,41,16,65,63#
-08286,000000,000000,000000,000000,023069;11,4,3,3,10,3;21617,21431,20264,21161,21753,21280;48,22,46,37,76,66#
-08480,000000,000000,000000,000000,023069;0,10,11,8,10,6;21439,21868,20324,21565,20100,21290;6,97,92,55,70,81#
-08480,000000,000000,000000,000000,023069;10,3,6,2,1,0;20088,20919,21536,20639,21133,21006;61,46,27,0,44,25#
-08480,000000,000000,000000,000000,023069;6,9,6,10,10,2;20010,21987,21085,21691,20251,20949;9,31,52,6,53,16#
-09534,000002,000000,000000,000000,023069;4,10,3,0,1,9;21102,20623,21059,20854,21923,21589;51,31,81,53,13,15#
-10775,000002,000000,000000,000000,023069;2,3,7,1,0,7;20076,20153,20861,21089,21448,21726;67,52,57,92,11,2#
-11984,000000,000000,000000,000000,023069;10,10,6,7,11,4;21548,21656,20982,21827,21425,20804;89,44,24,36,48,18#
-12394,000000,000000,000000,000000,023069;1,10,1,5,11,1;21699,20959,21554,21503,21706,21337;63,80,24,84,33,48#
-13643,000000,000000,000000,000000,023069;9,6,6,3,6,0;21954,20070,20232,20674,21795,21292;40,8,65,16,78,4#
-14881,000000,000000,000000,000000,023069;8,0,9,9,3,6;20214,21570,20609,20233,21263,20869;82,43,0,94,90,18#
-16114,000000,000000,000000,000000,023069;1,8,11,8,4,8;21415,21918,20178,21621,21788,21553;2,98,78,28,87,82#
-16120,000000,000000,000000,000000,023069;9,3,1,3,11,0;21110,20025,20647,20846,21074,20821;95,55,83,22,65,22#
-14857,000000,000000,000000,000000,023069;1,3,2,1,5,4;20039,21406,20830,21465,21276,20903;76,59,18,22,85,33#
-13617,000000,000000,000000,000000,023069;8,6,11,10,9,8;21631,20669,21872,20504,20966,21267;74,21,42,34,89,23#
-12381,000000,000000,000000,000000,023069;2,2,4,1,11,6;21218,21543,20366,21525,20691,20351;64,15,19,9,90,19#
-11149,000000,000000,000000,000000,023069;6,5,6,6,5,2;21412,20011,21141,21607,20231,21438;83,73,40,66,14,19#
-09918,000000,000000,000000,000000,023069;6,5,1,2,2,2;20342,20414,21172,21506,20618,20286;12,70,62,6,43,20#
-09337,000000,000000,000000,000000,023069;11,11,3,5,4,3;21122,21337,20167,21597,21443,20742;56,42,80,27,0,38#
-09337,000000,000000,000000,000000,023069;11,11,3,5,4,3;21122,21337,20167,21597,21443,20742;56,42,80,27,0,38#
-09338,000824,000000,000000,-00001,023069;3,3,1,11,9,5;20421,20877,21636,21133,21780,21262;1,65,26,2,75,24#
-09339,002476,000000,000000,-00001,023069;5,4,2,1,6,2;21327,20664,21981,21402,20426,21201;19,79,77,84,51,31#
-09340,004121,000000,000000,-00001,023069;5,0,2,7,0,0;20175,21068,20106,20829,21191,20438;1,26,38,41,17,15#
-09340,004282,000000,000000,-00001,023069;1,4,4,6,5,6;20296,21883,21215,21576,20200,20608;92,50,25,42,72,95#
-09340,004273,000000,000000,-00001,023069;2,5,3,9,8,11;21850,20133,21998,20656,20811,21104;65,41,24,77,43,58#
-09340,002578,000000,000000,-00001,023069;11,9,7,11,5,2;20014,21643,21523,21776,20688,21539;37,67,26,96,10,41#
-09340,000935,000000,000000,-00001,023069;10,8,1,3,4,7;21457,20699,20904,20204,20334,20629;31,84,26,98,88,80#
-09340,000006,000000,000000,000000,023069;7,5,4,7,5,6;21523,21094,20335,21585,20229,21235;77,27,47,43,16,77#
-09340,000008,000000,000000,000000,023069;7,4,1,0,11,7;20274,20333,21438,20542,21118,20694;59,3,32,39,76,28#
-09340,000016,-00977,000000,000001,023069;8,5,6,8,9,9;21053,20653,20067,20678,20253,21735;15,20,20,2,63,50#
-09340,000007,-01426,000000,000001,023069;4,5,7,1,7,10;21611,21203,20980,21662,21980,21554;40,26,53,30,78,57#
-09340,000010,-02076,000000,000001,023069;6,4,6,4,2,6;21531,20576,21183,20640,20438,20600;73,32,62,34,60,98#
-09340,000012,-01101,000000,000001,023069;4,10,1,4,10,10;20583,20068,20881,20389,21250,20082;13,3,42,4,14,86#
-09340,000012,000548,000000,000001,023069;6,9,10,6,6,2;20417,21231,21698,20388,21221,21490;83,3,71,12,14,92#
-08412,000010,000674,000000,-00001,023069;4,9,8,5,6,3;20569,20588,21151,21289,21374,20775;25,90,99,37,0,66#
