000000,000000,000000,000000,000000,002022;3,0,0,11,9,4;20203,20883,20288,21827,21028,20321;63,50,34,33,71,65#
000000,000000,000000,000000,000000,002022;1,9,3,6,7,7;20178,21492,20552,21953,20754,20973;28,39,37,61,1,53#
000000,000000,000000,000000,000000,002022;9,3,10,8,9,0;21872,21148,21263,21942,21326,20652;85,18,76,86,56,1#
000000,000000,000000,000000,000000,002022;9,5,3,7,10,6;20908,21112,21024,21706,20868,20183;50,14,10,15,33,99#
000000,000000,000000,000000,000000,002022;4,0,2,0,3,9;20608,21816,20349,20449,20379,20102;4,86,33,43,19,84#
000000,000000,000000,000000,000000,002022;8,8,3,3,9,2;20148,21265,21972,21553,21216,20296;27,32,24,15,41,32#
000000,000000,000000,000000,000000,002022;5,9,11,9,9,10;20730,21314,21023,21902,21988,21217;0,95,51,97,83,67#
000000,000000,000000,000000,000000,002022;3,2,7,9,9,9;21071,21602,21124,20563,21267,20388;16,64,23,95,64,83#
000000,000179,000000,000000,000000,002022;4,6,11,2,4,0;21265,20811,21858,20064,20576,20928;50,61,34,54,74,1#
000000,001862,000000,000000,000000,002022;5,11,1,2,11,9;20305,21357,20143,21932,20528,21140;44,29,25,50,2,70#
000000,003508,000000,000000,000000,002022;8,5,6,11,11,5;21645,20928,20813,20036,20672,21630;91,5,38,44,21,29#
000000,005071,000000,000000,000000,002022;8,9,0,4,1,11;20872,21989,20626,21627,20447,21030;98,29,89,66,21,34#
000000,004379,000000,000000,000000,002022;9,11,10,4,8,8;20672,20562,20426,20798,20835,20513;3,57,8,96,1,54#
000000,002720,000000,000000,000000,002022;8,2,10,3,0,2;20200,20282,21118,20091,20464,20676;47,13,27,81,74,51#
000000,001078,000000,000000,000000,002022;1,8,1,7,6,0;20478,20452,20388,20289,21095,21269;20,14,49,51,14,13#
000000,001078,000000,000000,000000,002022;1,8,1,7,6,0;20478,20452,20388,20289,21095,21269;20,14,49,51,14,13#
000000,001078,000000,000000,000000,002022;1,8,1,7,6,0;20478,20452,20388,20289,21095,21269;20,14,49,51,14,13#
000000,001078,000000,000000,000000,002022;1,8,1,7,6,0;20478,20452,20388,20289,21095,21269;20,14,49,51,14,13#
000000,-00330,000000,000000,000000,002022;4,3,11,0,3,3;20933,21896,20666,20945,20071,20920;70,36,27,34,75,21#
000000,-00342,000000,000000,000000,002022;9,3,7,1,7,8;20358,20736,21574,20125,20997,21709;87,7,95,53,89,12#
000000,-00350,000000,000000,000000,002022;8,9,7,4,3,8;20591,20304,21104,20105,21487,21097;6,55,2,26,78,92#
000000,-00349,000000,000000,000000,002022;4,0,6,2,10,10;21966,20360,21173,21582,21904,20574;95,6,28,93,62,20#
-01244,-00348,000000,000000,000000,002022;5,3,11,1,10,4;21558,20877,21700,21936,21429,21431;25,8,45,0,64,86#
-02483,-00346,000000,000000,000000,002022;2,10,3,0,11,4;21000,20809,21855,20712,21356,20785;34,36,89,73,90,78#
-03718,-00346,000000,000000,000000,002022;1,3,1,6,5,2;20260,21832,21626,20323,20398,20937;30,59,22,79,15,4#
-03752,-00346,000000,000000,000000,002022;8,1,5,1,6,3;20798,21709,20450,20753,21596,21386;51,77,15,30,62,46#
-02505,-00346,000000,000000,000000,002022;6,11,0,3,1,0;20856,20657,21322,20175,21422,21573;84,57,54,34,72,29#
-01267,-00346,000000,000000,000000,002022;2,4,10,4,8,2;20242,21825,21863,21853,20073,21160;64,79,75,66,91,53#
-00032,-00346,000000,000000,000000,002022;10,3,3,11,6,7;21134,20543,21833,21037,21759,21220;54,97,68,7,62,11#
000474,-00346,000000,000000,000000,002022;9,8,1,5,3,3;21320,21494,20654,20750,21989,20325;17,30,7,72,38,41#
000474,-00346,000000,000000,000000,002022;0,7,3,7,10,2;20202,21578,21297,21545,20150,21821;40,10,27,82,94,46#
000474,-00346,000000,000000,000000,002022;0,7,3,7,10,2;20202,21578,21297,21545,20150,21821;40,10,27,82,94,46#
000474,-00346,000000,000000,000000,002022;0,7,3,7,10,2;20202,21578,21297,21545,20150,21821;40,10,27,82,94,46#
000474,-00346,000000,000000,000000,002022;0,7,3,7,10,2;20202,21578,21297,21545,20150,21821;40,10,27,82,94,46#
-00002,-00001,000000,000000,000000,002022;8,0,2,4,11,3;21625,21241,21337,21812,21468,21738;3,90,61,50,87,70#
-00001,000000,000000,000000,000000,002022;11,3,6,2,0,10;20919,21308,20426,21226,21828,20376;73,22,47,82,39,11#
000000,000000,000000,000000,000000,002022;11,0,11,6,11,2;20947,20707,21793,20486,21029,20099;12,59,51,71,54,92#
000000,000000,000000,000000,000000,002022;5,1,4,6,1,9;21688,21726,20790,21320,20072,20410;48,13,39,38,28,50#
000000,000000,000000,000000,000000,002022;2,3,11,5,8,2;21484,21775,20714,20847,20224,20326;41,68,60,39,84,27#
000000,000000,000000,000000,000000,002022;11,3,0,5,0,5;21177,21083,20323,20300,20586,20912;96,1,31,25,17,65#
000000,000000,000000,000000,000000,002022;1,4,11,8,3,1;21921,20018,20080,21136,20964,21806;6,72,53,15,60,77#
000000,000000,000000,000000,000000,002022;6,8,9,7,11,5;20762,20497,20236,21364,20373,20558;90,63,29,1,65,38#
000000,000000,000000,000000,000000,002022;6,3,5,10,7,11;21448,21052,21325,20863,21191,20600;81,85,66,24,67,83#
000000,000000,000000,000000,000000,002022;6,7,4,11,1,0;21226,21020,20048,21162,21204,20644;75,73,32,6,51,68#
